,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
4019,20241104,461300,142926,142923,144130,18960,17230,19100,18410,19,10,18800,13.870,19100,18410,19,10,124.580,1150627,506166,630596,10371,11757,562,2.680,13.870,10.440,20957,57324,18610,13080,23200,13080,0.005,-0.014,-0.014,711,760,아이스크림미디어,-0.014
4018,20241104,023440,142916,142911,144118,1953,1775,2005,1959,4,20,1999,12.620,2005,1959,4,20,218.010,1588046,496386,1082182,1090,1970,511,1.680,12.620,6.350,2997,31724,1797,1300,1797,1262,0.013,-0.020,0.003,684,745,제이스코홀딩스,0.003
4017,20241104,123330,142534,142534,143741,23050,20950,23200,22550,18,1,22650,8.110,23200,22550,18,1,125.060,229205,100529,125717,1288,1351,110,3.230,29.820,24.690,109694,26405,-1,-1,-1,-1,0.033,-0.004,0.033,755,676,제닉,0.033
4016,20241104,219550,141402,141356,142604,665,604,690,664,1,13,688,15.440,690,664,1,13,101.330,5302459,2604175,2638714,2111,2800,110,3.230,29.820,23.870,109317,25063,695,305,695,228,0.073,-0.017,0.026,719,653,디와이디,0.026
4015,20241104,310210,140856,140850,142104,118800,108000,119100,118300,12,16,118900,10.090,119100,118300,12,16,146.800,357736,144074,211497,4346,6139,377,3.050,29.820,11.200,109262,20213,117100,80700,117100,58900,0.003,-0.017,-0.016,648,753,보로노이,-0.016
4014,20241104,189330,140517,140515,141725,7510,6820,7470,6990,20,2,7020,5.410,7470,6990,20,2,127.870,104181,43150,55178,766,715,480,2.250,12.940,8.680,3760,7714,8270,6630,8700,6140,0.014,-0.026,-0.024,637,753,씨이랩,-0.024
4013,20241104,065170,140254,140253,141504,259,235,284,260,7,1,262,18.020,284,260,7,1,98.880,8024785,3898640,3854856,3999,4597,408,3.770,18.920,7.350,2055,70515,423,222,580,222,0.019,-0.065,-0.057,631,756,비엘팜텍,-0.048
4012,20241104,226950,135639,135639,140848,24100,21900,24100,23700,20,16,23950,8.130,24100,23700,20,16,105.250,916019,443581,466866,4134,5744,493,3.180,13.370,9.790,17938,97653,31200,16640,31200,11300,0.004,-0.027,-0.023,646,754,올릭스,-0.023
4011,20241104,138490,135628,135624,140836,6370,5790,6560,6200,1,19,6530,14.360,6560,6200,1,19,146.660,1227459,485730,712364,7030,10584,386,1.480,14.360,10.510,7726,2074,6200,5600,6990,5600,0.078,-0.074,-0.061,676,755,코오롱ENP,-0.048
4010,20241104,206560,134217,134211,135420,8030,7300,8320,7970,14,18,8110,10.040,8320,7970,14,18,119.670,813065,363748,435296,3191,4105,127,5.190,29.980,16.530,99270,67061,8140,6680,8140,5160,0.011,-0.036,-0.026,588,685,덱스터,-0.026
4009,20241104,299900,134149,134149,135358,1335,1213,1389,1312,19,11,1347,11.050,1389,1312,19,11,137.800,1822722,737412,1016182,2029,3341,127,5.020,29.980,16.530,99269,67006,1477,1199,1612,1199,0.122,0.000,0.039,737,589,위지윅스튜디오,0.120
4008,20241104,102460,133432,133430,134635,17190,15620,17940,16600,19,1,16690,6.780,17940,16600,19,1,93.080,356812,174216,162152,2961,2984,294,2.950,10.970,6.780,163130,6127,16780,13350,16780,12210,0.093,-0.014,-0.008,596,575,이연제약,-0.008
4007,20241104,126340,133100,133059,134307,38750,35200,39000,38450,18,1,38550,9.520,39000,38450,18,1,135.380,53355,22518,30485,854,870,329,3.010,14.060,9.520,1266,2014,39600,35200,43400,35200,0.012,-0.001,0.005,623,567,비나텍,0.005
4006,20241104,282880,132828,132823,134037,16380,14890,16450,15850,3,11,16060,18.000,16450,15850,3,11,110.240,706585,323872,357051,6066,7540,503,4.690,30.000,18.000,504,11167,16000,13460,17200,13350,0.101,-0.040,0.101,759,689,코윈테크,0.097
4005,20241104,282880,131606,131606,132811,15070,13700,15630,14730,6,17,15500,13.890,15630,14730,6,17,122.400,243313,108428,132721,2223,2692,503,4.530,30.000,14.990,504,3729,16000,13460,17200,13350,0.141,-0.006,0.141,759,689,코윈테크,0.120
4004,20241104,003230,131258,131257,132502,578000,525000,580000,572000,19,5,575000,10.580,580000,572000,19,5,316.920,112309,26764,84821,2818,6380,568,1.720,10.580,10.150,61992,55960,569000,502000,616000,470000,0.040,-0.002,0.024,670,530,삼양식품,0.024
4003,20241104,019550,125739,125737,130943,725,659,742,682,20,7,701,6.370,742,682,20,7,68.260,2083144,1180727,805926,1964,2449,483,2.210,6.220,3.360,1468,2437,764,647,808,647,0.053,-0.053,-0.017,508,536,SBI인베스트먼트,-0.048
4002,20241104,294090,125457,125453,130701,5580,5070,5770,5260,17,19,5470,7.890,5770,5260,17,19,99.570,490956,243224,242177,1672,1964,175,2.570,30.000,23.840,504,2150,6688,5000,12701,5000,-0.004,-0.048,-0.048,498,751,이오플로우,-0.048
4001,20241104,241820,125016,125012,130226,967,879,1123,1086,0,16,1123,29.980,1123,1086,0,16,118.100,804666,208864,246660,518,690,493,3.720,29.980,6.180,833,8372,1304,864,2030,864,0.000,-0.304,-0.304,484,760,피씨엘,-0.004
4000,20241104,086980,124109,124105,125315,4730,4300,4760,4620,18,14,4650,9.030,4760,4620,18,14,105.560,4450835,2095523,2212082,8529,10779,127,3.800,21.420,11.960,81513,4031,4445,3685,4445,3430,0.082,-0.001,0.070,603,466,쇼박스,0.070
3999,20241104,464500,123217,123216,124426,4375,3975,4460,4270,19,11,4310,8.430,4460,4270,19,11,117.380,617613,278636,327067,4153,4711,562,3.050,15.180,13.850,46598,13847,11180,3975,11180,3975,0.007,-0.020,-0.005,531,554,아이언디바이스,-0.005
3998,20241104,308430,122327,122321,123532,15490,14080,15900,15070,11,18,15440,9.500,15900,15070,11,18,108.550,933618,432421,469402,5566,6261,562,3.110,15.360,11.890,43837,12481,26800,14100,26800,14100,-0.010,-0.038,-0.034,431,477,셀비온,-0.034
3997,20241104,465480,121458,121457,122701,8910,8100,9690,8910,6,20,9340,14.460,9690,8910,6,20,109.960,1204970,562489,618496,5624,7521,562,3.140,18.750,14.460,37935,10910,20550,8160,20550,8160,0.043,-0.088,-0.088,530,760,인스피언,-0.048
3996,20241104,209640,121430,121430,122640,13360,12140,13590,13090,19,4,13260,18.390,13590,13090,19,4,103.270,3009732,1450478,1497875,15832,17207,562,3.110,18.390,14.090,37608,10891,21800,11200,21800,11200,0.007,-0.109,-0.103,415,754,와이제이링크,-0.048
3995,20241104,196170,121412,121410,122619,388500,353000,391000,386500,0,14,391000,9.680,391000,386500,0,14,168.090,859682,318042,534611,12154,16452,241,2.710,9.680,5.360,318653,31321,397500,319500,397500,261500,0.014,-0.015,-0.004,524,733,알테오젠,-0.004
3994,20241104,069540,115852,115848,121057,1466,1332,1490,1446,0,14,1490,11.860,1490,1446,0,14,363.210,473461,101169,367460,315,797,92,0.950,12.090,6.800,678,5833,1478,1253,2500,1223,0.013,-0.030,-0.015,461,522,빛과전자,-0.015
3993,20241104,209640,115328,115327,120532,12150,11040,12850,12070,1,20,12820,14.460,12850,12070,1,20,111.540,1743659,802405,895009,8602,10033,562,2.390,14.370,11.660,20890,4884,21800,11200,21800,11200,0.057,-0.078,-0.072,394,754,와이제이링크,-0.048
3992,20241104,128540,113244,113242,114453,1346,1223,1410,1330,16,3,1332,7.250,1410,1330,16,3,149.090,147336,56021,83519,330,469,501,1.680,7.250,6.750,200,23097,1527,1238,1836,1238,0.080,-0.035,-0.011,426,646,에코캡,-0.011
3991,20241104,263800,113031,113030,114239,4645,4220,4920,4525,16,20,4765,11.850,4920,4525,16,20,104.110,945132,458471,477292,3226,3542,529,2.380,11.740,8.960,4511,661,5080,4015,5080,3995,0.035,-0.072,-0.057,373,697,데이타솔루션,-0.048
3990,20241104,307870,112707,112702,113911,1364,1240,1416,1348,13,19,1392,12.900,1416,1348,13,19,91.810,4866532,2465329,2263302,8773,9363,276,1.710,12.900,6.880,6313,3435,1648,725,3725,725,-0.001,-0.094,-0.088,318,756,비투엔,-0.048
3989,20241104,402030,112649,112647,113859,15970,14510,16250,15760,16,8,15960,9.990,16250,15760,16,8,194.450,39765,13302,25866,398,787,529,2.280,12.680,9.990,3311,621,16290,14000,17250,13010,0.009,-0.033,-0.027,336,658,코난테크놀로지,-0.027
3988,20241104,141080,111317,111315,112527,129200,117400,131000,128900,5,20,129300,8.290,131000,128900,5,20,146.660,958621,384214,563477,11905,13989,448,2.280,22.290,8.290,67891,118238,131700,89200,131700,73400,0.035,-0.004,0.006,525,297,리가켐바이오,0.006
3987,20241104,007390,111208,111207,112418,19670,17880,20400,19680,2,19,20350,22.590,20400,19680,2,19,115.400,3529178,1564237,1805163,17227,20389,66,4.740,22.590,16.260,67471,16836,21850,9090,21850,9090,0.059,-0.017,0.059,507,310,네이처셀,0.056
3986,20241104,019680,111019,111017,112222,2450,2215,2600,2280,19,0,2295,2.460,2600,2280,19,0,88.540,231315,118861,105238,789,1105,547,3.660,6.300,5.970,8183,717,2295,2120,2365,1977,0.068,-0.031,0.041,719,337,대교,0.041
3985,20241104,078160,105946,105940,111148,7260,6600,7440,7250,17,20,7330,12.770,7440,7250,17,20,171.120,360760,131629,225241,1089,1335,124,4.800,12.620,4.200,2556,5887,6720,5640,6720,5500,0.053,-0.023,0.008,282,541,메디포스트,0.008
3984,20241104,389650,105746,105746,110952,34000,30900,34100,33200,19,3,33300,8.470,34100,33200,19,3,159.850,297327,111889,178853,2029,2943,562,2.080,14.550,11.530,38566,4689,47400,30700,47400,23700,0.003,-0.024,-0.021,266,377,넥스트바이오메디컬,-0.021
3983,20241104,430690,105537,105535,110741,4830,4390,4850,4645,19,8,4760,8.180,4850,4645,19,8,77.150,198938,108241,83512,1358,1866,55,0.870,8.180,5.820,937,2855,7370,4400,7740,4100,0.069,-0.014,0.025,299,267,한싹,0.025
3982,20241104,020120,105519,105517,110729,4530,4115,4635,4360,14,17,4500,9.490,4635,4360,14,17,111.670,1992299,927800,1036086,6250,7417,488,2.440,9.490,4.800,8820,160,4110,3390,4110,3300,0.030,-0.099,-0.086,334,599,키다리스튜디오,-0.048
3981,20241104,200350,105105,105104,110311,17930,16300,18140,17800,6,9,17940,22.790,18140,17800,6,9,100.410,3865506,1904055,1911826,30184,33606,127,3.530,22.720,10.360,66019,43965,14610,10570,14610,10050,0.059,-0.015,0.059,555,469,래몽래인,0.055
3980,20241104,009410,104821,104820,110027,4060,3690,4070,3765,19,17,3810,2.970,4070,3765,19,17,83.850,605060,309496,259513,1952,2295,197,0.970,2.970,1.960,2228,9,-1,-1,-1,-1,0.029,-0.049,-0.041,242,694,태영건설,-0.048
3979,20241104,456070,104435,104433,105641,18700,17000,19610,18280,17,19,19140,12.260,19610,18280,17,19,93.870,1350596,670596,629463,9315,9843,66,4.130,18.110,16.200,15190,52966,27550,17050,38250,17050,0.039,-0.023,-0.022,236,758,이엔셀,-0.022
3978,20241104,009410,104349,104348,105553,3680,3345,4070,3675,10,20,3870,4.590,4070,3675,10,20,86.800,576088,289095,250942,1771,2097,197,1.250,4.730,1.960,2118,9,-1,-1,-1,-1,0.013,-0.063,-0.056,242,694,태영건설,-0.048
3977,20241104,079900,104131,104130,105337,21900,19900,22500,21800,16,1,21950,-2.880,22500,21800,16,1,72.820,1203906,685019,498852,6517,7694,562,1.980,10.970,10.720,23348,10601,24850,14600,24850,14600,0.002,-0.064,-0.041,228,465,전진건설로봇,-0.048
3976,20241104,067170,104005,104004,105209,4150,3770,4170,3975,20,4,4035,3.460,4170,3975,20,4,67.730,150164,85997,58246,645,600,112,1.710,3.460,3.170,601,922,3900,3365,4270,3365,0.001,-0.016,-0.007,519,304,오텍,-0.007
3975,20241104,282720,103046,103046,104253,11520,10470,11510,10480,20,5,10500,2.140,11510,10480,20,5,98.970,377294,173308,171519,1868,1705,329,2.800,15.230,9.170,1049,376,12760,10210,12760,9650,0.011,-0.013,0.002,748,235,금양그린파워,0.002
3974,20241104,100220,102609,102609,103816,6670,6060,6700,6460,20,12,6540,10.290,6700,6460,20,12,109.420,566141,256253,280383,2415,2666,52,1.750,10.290,9.330,3622,9418,5930,4715,5930,4125,0.061,0.000,0.041,283,196,비상교육,0.041
3973,20241104,323280,102334,102333,103546,33000,30000,34000,32700,9,20,33300,13.070,34000,32700,9,20,136.480,937608,389016,530945,5071,7513,545,3.020,13.410,4.490,29684,681,44300,17200,44300,8740,0.044,-0.014,0.026,751,406,태성,0.026
3972,20241104,123860,102313,102312,103523,21150,19210,21350,20900,19,0,20900,8.910,21350,20900,19,0,199.380,74703,24288,48425,330,626,307,1.590,8.910,5.660,1531,745,21650,18000,23300,17760,0.014,-0.019,0.014,757,416,아나패스,0.014
3971,20241104,039610,101925,101922,103132,10820,9830,11180,10770,18,20,10900,17.580,11180,10770,18,20,110.340,3120340,1455756,1606236,12899,15680,520,4.880,17.370,12.640,32571,7352,13570,9270,14600,9270,0.008,-0.044,0.003,757,435,화성밸브,0.003
3970,20241104,035900,101915,101913,103118,53700,48750,54200,53500,14,18,53800,10.360,54200,53500,14,18,273.860,697794,183094,501417,5493,11332,127,3.110,17.520,10.360,49479,36479,52900,44650,57700,43500,0.011,-0.015,0.002,218,555,JYP Ent.,0.002
3969,20241104,340360,101329,101328,102531,2905,2640,3080,2895,6,20,2980,9.560,3080,2895,6,20,206.350,1216547,388965,802633,1004,1471,480,2.080,9.560,5.930,3508,218,2840,2105,2840,1614,0.017,-0.032,-0.017,177,352,다보링크,-0.017
