,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,noNEWS,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
3269,20250704,033540,134600,134559,144807,1458,1325,1475,1317,116,43,1338,1.210,1340,1335,1,2,79.980,3031082,1654113,1322992,4427,4973,517,-1.860,1.570,1.260,46192,329,1438,1270,1520,1270,1,0.017,-0.002,0.001,731,757,파라텍,0.001
3268,20250704,060230,133527,133526,143732,587,533,582,537,120,2,540,11.570,546,537,20,2,103.610,9006211,4352954,4510239,4527,5259,348,0.100,25.650,11.360,369695,4855,489,421,676,421,3,0.004,-0.028,0.004,760,703,소니드,0.004
3267,20250704,060230,132746,132745,142958,533,484,586,521,105,117,543,12.190,550,540,12,0,104.170,8873817,4276172,4454627,4472,5210,348,0.080,24.200,12.190,361601,4783,489,421,676,421,3,-0.000,-0.033,-0.002,665,703,소니드,-0.002
3266,20250704,122350,132006,132006,142213,1405,1277,1430,1341,32,80,1401,20.260,1403,1342,0,5,89.010,13450739,7042734,6268952,19581,24115,386,-1.390,19.830,2.200,18177,3358,1165,1125,1165,1021,0,0.013,-0.093,-0.076,702,758,삼기,-0.048
3265,20250704,334970,130521,130520,140725,4235,3850,4235,4075,119,3,4115,7.860,4140,4075,18,3,119.530,959199,433726,518412,1986,2575,172,-1.020,7.860,5.960,3920,2820,4200,3330,4335,3330,0,0.009,-0.015,0.007,755,648,프레스티지바이오로직,0.007
3264,20250704,154030,130125,130124,140334,2680,2435,2710,2580,111,7,2600,-4.590,2605,2580,14,7,111.430,168770,70501,78558,486,538,206,-1.460,1.550,0.670,50,108,2800,2215,2800,1793,2,0.004,-0.008,0.002,742,697,아시아종묘,0.002
3263,20250704,143210,124641,124641,134844,2200,1999,2245,1986,119,36,2020,13.420,2100,2015,20,10,74.320,1841077,1016163,755185,5980,7554,27,-0.710,21.370,13.420,13381,3851,1816,1553,1816,1553,1,0.033,-0.135,-0.133,605,718,핸즈코퍼레이션,-0.048
3262,20250704,143210,124355,124352,134607,2290,2080,2245,1986,114,31,2030,13.980,2105,2015,18,5,74.550,1831032,1009051,752252,5787,7360,27,-0.720,15.450,13.980,12488,3831,1816,1553,1816,1553,1,0.028,-0.139,-0.137,605,718,핸즈코퍼레이션,-0.048
3261,20250704,143210,124138,124134,134350,2085,1891,2285,1986,116,26,2020,13.420,2115,2015,18,0,74.140,1817961,1003917,744315,5722,7289,27,-0.740,15.710,13.420,12413,3804,1816,1553,1816,1553,1,0.033,-0.135,-0.133,605,718,핸즈코퍼레이션,-0.048
3260,20250704,143210,123821,123820,134033,1960,1781,2285,1891,110,120,2070,16.230,2170,1986,16,20,75.150,1789267,981735,737803,5566,7200,27,-0.680,17.000,16.230,12140,3746,1816,1553,1816,1553,1,0.008,-0.156,-0.154,605,718,핸즈코퍼레이션,-0.048
3259,20250704,476040,123615,123613,133822,37900,34450,37950,35950,120,17,36550,10.260,36700,35950,10,17,94.310,1868056,958774,904257,22093,25064,574,-0.660,13.670,10.410,77328,35907,48150,28850,48150,28850,2,0.014,-0.027,-0.001,561,682,오가노이드사이언스,-0.001
