,date,shcode,etf,gubun,ytDiffO,ytDiffH,ytDiffL,ytDiff,ytClose,ytVolume,ytULPi,tdSDiff,tdOpen,noNEWS,30m(MAX),30m(MAXi),30m(MIN),30m(MINi),30m(CLOSE),value
10623,2025-02-07,475580,0,2,0.0402,0.1238,0.0402,0.1046,13200,3058718,-1,-0.0053,13130,3,0.003,51,-0.0303,20,0.0023,0.0
10622,2025-02-07,466410,0,2,0.0316,0.1028,0.0278,0.1028,20600,457327,-1,0.0146,20900,0,0.0146,0,-0.0291,49,-0.0146,-0.028779814705302442
10621,2025-02-07,466100,0,2,0.0576,0.1646,0.0219,0.1296,16470,38970041,-1,0.0188,16780,6,0.1797,56,0.0146,0,0.1469,0.15
10620,2025-02-07,465480,0,2,-0.0096,0.2237,-0.012,0.1411,9540,7154851,-1,0.0126,9660,0,0.0252,45,-0.0021,6,0.0157,0.0030614260319969944
10619,2025-02-07,461030,0,2,0.0009,0.1798,-0.0158,0.1395,12990,2150566,-1,-0.0031,12950,0,0.0808,34,-0.0192,4,0.0562,0.0
10618,2025-02-07,452190,0,2,0.0088,0.1377,-0.0225,0.1377,4545,4332438,-1,0.1705,5320,0,0.2321,9,0.1331,55,0.1419,-0.02443400256300743
10617,2025-02-07,434480,0,2,0.0142,0.2409,0.0142,0.1215,5540,18685260,-1,0.0018,5550,6,0.0108,1,-0.0235,41,-0.0036,0.0
10616,2025-02-07,419080,0,2,-0.0096,0.1271,-0.0204,0.1271,9400,97433,-1,0.0,9400,0,0.0777,57,-0.0255,19,0.0734,0.0
10615,2025-02-07,389020,0,2,0.0401,0.1959,0.0316,0.1375,46750,949934,-1,-0.0075,46400,15,-0.0075,0,-0.0321,12,-0.0257,0.0
10614,2025-02-07,382150,0,2,0.0795,0.2992,0.0795,0.2992,13070,14261230,674,-0.036,12600,1,-0.0061,8,-0.0497,18,-0.0245,0.0
10613,2025-02-07,365330,0,2,0.091,0.1997,0.0852,0.1028,7510,15800907,-1,0.0093,7580,12,0.0373,19,0.0067,1,0.0226,0.0
10612,2025-02-07,331520,0,2,-0.0014,0.2867,-0.0029,0.1744,815,33926197,-1,-0.0086,808,0,0.0025,3,-0.0442,17,-0.0417,0.0
10611,2025-02-07,313760,0,2,0.0014,0.2929,-0.0068,0.2643,4640,664924,739,0.0086,4680,13,0.0086,0,-0.0851,59,-0.0841,0.0
10610,2025-02-07,272290,0,2,0.0133,0.1181,0.0133,0.1124,29200,923701,-1,-0.0017,29150,0,0.0103,58,-0.0274,13,0.0068,0.0
10609,2025-02-07,264660,0,2,0.0036,0.2384,-0.009,0.2168,13580,871067,-1,0.1303,15350,3,0.1686,1,0.0677,47,0.0714,-0.052110059276298526
10608,2025-02-07,260970,0,2,0.1611,0.2978,0.1576,0.2978,56000,823696,195,0.0179,57000,8,0.0196,0,-0.0393,3,-0.0286,-0.05
10607,2025-02-07,256940,0,2,0.012,0.1871,0.0075,0.1123,7430,733633,-1,0.0162,7550,1,0.0162,0,-0.0242,49,-0.0229,-0.038476677819326954
10606,2025-02-07,226330,0,2,0.0125,0.2354,0.0084,0.1978,8600,6043479,-1,-0.0163,8460,9,0.0105,14,-0.0256,4,-0.014,0.0
10605,2025-02-07,219550,0,2,0.038,0.2519,0.0354,0.1203,885,16327823,-1,0.026,908,6,0.0678,29,-0.0056,10,0.0169,-0.008869395711501027
10604,2025-02-07,214370,0,2,0.013,0.1466,0.0098,0.1059,33950,948596,-1,0.0044,34100,0,0.0191,4,-0.0236,39,0.0029,0.0
10603,2025-02-07,204270,0,2,0.0309,0.1376,-0.0115,0.1376,21750,2000169,-1,0.0161,22100,11,0.0299,3,-0.0276,17,-0.0184,-0.033953351048125135
10602,2025-02-07,183300,0,2,0.0217,0.134,0.0217,0.1313,41800,382063,-1,-0.0096,41400,3,-0.0012,0,-0.0299,57,-0.0287,0.0
10601,2025-02-07,171010,0,2,-0.0013,0.2995,-0.0267,0.2995,4860,2582801,707,0.2757,6200,5,0.2984,0,0.1626,53,0.1811,0.0
10600,2025-02-07,161580,0,2,0.0131,0.2512,-0.0212,0.2496,38300,7892154,-1,0.0679,40900,25,0.1736,36,0.0627,1,0.1227,0.09
10599,2025-02-07,148250,0,2,0.0,0.1161,-0.0011,0.1054,5140,279975,-1,0.0,5140,0,0.0,0,-0.0311,22,-0.0214,0.0
10598,2025-02-07,142760,0,2,0.0,0.2316,-0.0044,0.1219,1279,1632324,-1,0.0008,1280,0,0.0078,59,-0.0211,7,0.0078,0.0
10597,2025-02-07,112290,0,2,0.0301,0.298,-0.0109,0.298,25000,2401843,731,0.1,27500,14,0.132,1,0.04,17,0.078,-0.020000000000000018
10596,2025-02-07,101390,0,2,0.0035,0.1976,-0.0473,0.1785,1670,1944146,-1,0.0042,1677,1,0.0413,20,-0.018,4,0.0144,0.0
10595,2025-02-07,095610,0,2,-0.0223,0.1266,-0.0223,0.1092,22350,1404856,-1,-0.0067,22200,3,0.0,2,-0.0425,24,-0.0268,0.0
10594,2025-02-07,089010,0,2,0.0143,0.1814,-0.0215,0.1718,24550,2306590,-1,0.0794,26500,9,0.1527,2,0.0754,10,0.0896,0.009449694274596965
10593,2025-02-07,083930,0,2,0.0968,0.1099,0.0523,0.1076,14410,552211,-1,0.0236,14750,0,0.0298,6,-0.0146,53,-0.0042,-0.027159046502540085
10592,2025-02-07,078150,0,2,0.0152,0.1457,-0.0109,0.1457,2635,7041497,-1,0.0455,2755,6,0.0702,5,0.0114,53,0.019,-0.025346724055476
10591,2025-02-07,067160,0,2,0.0087,0.1739,0.0087,0.1064,127900,1914955,-1,-0.0125,126300,3,0.0172,22,-0.0493,59,-0.0446,0.0
10590,2025-02-07,065650,0,2,0.0946,0.2857,0.0444,0.2297,637,32377249,-1,0.022,651,0,0.0267,0,-0.0706,43,-0.0581,-0.05
10589,2025-02-07,064760,0,2,0.0097,0.1331,-0.0083,0.1276,81300,110601,-1,0.0025,81500,3,0.0578,32,-0.0062,5,0.0271,0.0
10588,2025-02-07,052770,0,2,0.0055,0.181,0.0055,0.1042,1208,2181598,-1,0.0,1208,0,0.0,0,-0.048,8,-0.0323,0.0
10587,2025-02-07,610067,2,1,0.0905,0.1005,0.0661,0.1005,6080,8325,-1,0.0173,6185,0,0.0173,0,0.0123,0,0.0123,-0.004914971001671153
10586,2025-02-07,510037,2,1,0.0,0.1073,0.0,0.1052,7985,1552,-1,0.0175,8125,0,0.0175,0,0.0125,0,0.0144,-0.0030466830466830963
10585,2025-02-07,489790,0,1,0.0277,0.2251,0.0212,0.2121,37150,5075195,-1,-0.0229,36300,0,-0.004,10,-0.039,16,-0.0296,0.0
10584,2025-02-07,375500,0,1,0.0049,0.1505,0.0049,0.1375,35150,626534,-1,0.0028,35250,3,0.0455,41,-0.0057,0,0.0398,0.0
10583,2025-02-07,326030,0,1,0.0083,0.1808,0.0055,0.1716,127000,2347896,-1,-0.0157,125000,0,0.0008,17,-0.022,0,-0.0102,0.0
10582,2025-02-07,267270,0,1,0.0486,0.1191,0.0423,0.1113,70900,662997,-1,-0.0127,70000,5,0.0423,20,-0.0324,0,0.0226,0.0
10581,2025-02-07,178920,0,1,0.0227,0.1277,0.0023,0.1226,19780,472919,-1,0.0,19780,6,0.0015,58,-0.0152,48,0.001,0.0
