,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,gcut,lcut,iASK0,tASK0,prcASK0,profit0,iASK1,tASK1,prcASK1,profit1,iASK2,tASK2,prcASK2,profit2,hname,profit
4047,20250703,900120,0.078,0.219,0.031,0.078,54,7,80716014,41887808,35870390,30035,57740,69,-0.014,0.072,-0.014,7,0,15472312,6965124,8507188,6560,5257,0,93100,72,0.088,0.053,699,153000,71,-0.01389,699,153000,71,-0.01389,699,153000,71,-0.01389,씨엑스아이,-0.01389
4046,20250703,462860,0.012,0.023,-0.076,-0.061,0,495,3764369,2371143,1223698,9370,6553,4330,0.02,0.07,0.007,8,32,1571901,955549,616352,3847,4028,11,93630,4520,0.063,0.05,484,133300,4290,-0.05088,699,153000,4325,-0.04314,450,131600,4335,-0.04093,더즌,-0.05088
4045,20250703,308100,0.3,0.3,0.171,0.3,18,18,7522935,4380607,2707007,13773,11663,4945,0.07,0.226,0.048,10,0,6589052,3268709,3175750,16001,16469,612,143700,5780,0.104,0.062,616,143900,5420,-0.06228,619,144030,5350,-0.07439,615,143830,5490,-0.05017,형지글로벌,-0.06228
4044,20250703,300080,-0.006,-0.006,-0.061,-0.011,0,252,84020,46860,34919,1256,812,12160,0.172,0.174,0.086,0,49,220344,134299,79801,2387,1694,29,94530,13720,0.081,0.05,699,153000,13330,-0.02843,699,153000,13330,-0.02843,699,153000,13330,-0.02843,플리토,-0.02843
4043,20250703,274400,-0,0.011,-0.041,-0.011,2,177,24269,19121,4783,186,167,4840,0.147,0.153,0.024,8,31,155386,99685,54543,1202,813,92,101700,5320,0.12,0.072,699,153000,5210,-0.02068,699,153000,5210,-0.02068,699,153000,5210,-0.02068,이노시뮬레이션,-0.02068
4042,20250703,270520,-0.001,0.298,-0.01,0.235,615,35,21332502,9248420,11509157,17739,21436,1398,-0.058,0.016,-0.064,23,2,1768230,932920,835310,2205,1816,7,93430,1371,0.086,0.051,699,153000,1343,-0.02042,699,153000,1343,-0.02042,699,153000,1343,-0.02042,앱트뉴로사이언스,-0.02042
4041,20250703,192410,0.008,0.23,-0.034,0.105,57,5,3199175,1653723,1446452,5697,6292,2210,-0.023,0.032,-0.068,12,39,353546,215231,138315,385,417,499,134030,2190,0.107,0.064,699,153000,2110,-0.03653,699,153000,2110,-0.03653,699,153000,2110,-0.03653,오늘이엔엠,-0.03653
4040,20250703,093240,0.099,0.17,-0.064,0.019,4,48,61694647,32278395,28459210,73514,81510,3180,0.019,0.047,-0.036,1,25,3379164,1991545,1387619,4238,4004,19,94030,3230,0.086,0.052,290,115600,3060,-0.05263,438,131000,3025,-0.06347,256,113900,3095,-0.0418,형지엘리트,-0.05263
4039,20250703,094860,0.01,0.046,-0.01,-0.009,1,33,13123,7060,3649,43,66,999,0.135,0.165,0.047,0,24,198203,130725,63377,472,333,52,95700,1111,0.113,0.068,77,100930,1036,-0.06751,203,111230,1021,-0.08101,66,100400,1051,-0.05401,네오리진,-0.06751
4038,20250703,070300,0.002,0.118,0.002,0.055,171,0,663201,298221,332668,1110,2738,2415,0.06,0.268,0.055,29,0,1259607,645218,591179,3029,3587,2,93200,2330,0.091,0.055,14,93800,2200,-0.05579,79,101030,2175,-0.06652,11,93630,2225,-0.04506,엑스큐어,-0.05579
4037,20250703,017940,0.01,0.017,-0.034,0.016,619,128,27514,17526,9337,1561,966,84700,0.02,0.092,0.019,18,0,24796,9501,15295,530,604,27,94430,89400,0.072,0.05,699,153000,88000,-0.01566,699,153000,88000,-0.01566,699,153000,88000,-0.01566,E1,-0.01566
4036,20250703,043710,0.002,0.113,-0.1,-0.027,33,674,1064704,536967,485868,1411,1629,1221,-0.039,-0.038,-0.135,0,22,227060,136203,71586,389,320,9,93530,1125,0.112,0.067,699,153000,1097,-0.02489,699,153000,1097,-0.02489,699,153000,1097,-0.02489,서울리거,-0.02489
4035,20250702,950140,0.028,0.055,-0.009,0.02,360,24,763253,401841,333110,6242,6744,13290,0.004,0.014,-0.05,8,19,90386,58363,32023,895,473,597,142930,13230,0.068,0.05,699,153000,13030,-0.01512,699,153000,13030,-0.01512,699,153000,13030,-0.01512,잉글우드랩,-0.01512
4034,20250702,338840,0.002,0.012,-0.02,-0.003,481,6,40684,22174,18052,463,388,9030,0.058,0.141,0.041,24,7,169946,88637,81309,1352,1359,7,93430,9770,0.096,0.057,699,153000,9700,-0.00716,699,153000,9700,-0.00716,699,153000,9700,-0.00716,와이바이오로직스,-0.00716
4033,20250702,314130,0.011,0.059,-0.011,0.032,123,3,221605,88960,129708,819,903,2775,0.067,0.135,0.047,12,48,720834,371712,349122,1557,1827,19,94030,3065,0.084,0.051,699,153000,3080,0.00489,699,153000,3080,0.00489,699,153000,3080,0.00489,지놈앤컴퍼니,0.00489
4032,20250702,308430,0.01,0.06,-0.022,0.046,421,44,586238,287200,295516,4386,3524,21750,0.037,0.062,0,4,39,155426,86962,68464,1043,1071,619,144030,22600,0.062,0.05,699,153000,22250,-0.01549,699,153000,22250,-0.01549,699,153000,22250,-0.01549,셀비온,-0.01549
4031,20250702,290660,-0,-0,-0.072,-0.059,0,57,775621,563052,173915,1208,884,1600,0.021,0.093,0.02,1,49,103677,61299,42378,188,186,22,94200,1681,0.072,0.05,60,100100,1803,0.07258,60,100100,1827,0.08685,53,95730,1779,0.0583,네오펙트,0.07258
4030,20250702,36328K,0.103,0.175,-0.103,-0.081,68,17,928873,494581,379159,7421,8432,6000,0.033,0.035,-0.038,0,41,15170,11070,4100,176,95,31,94630,6050,0.076,0.05,344,122300,5750,-0.04959,699,153000,5880,-0.0281,72,100700,5810,-0.03967,티와이홀딩스우,-0.04959
4029,20250702,229000,-0.012,0.032,-0.085,-0.028,65,150,621594,344601,249402,1461,1543,1968,0.146,0.161,0.082,19,15,693035,433090,259945,1637,1379,16,93900,2210,0.073,0.05,26,94400,2375,0.07466,181,110130,2075,-0.06109,26,94400,2340,0.05882,젠큐릭스,0.07466
4028,20250702,223310,-0.02,0.032,-0.044,0,664,60,796389,483818,296345,2316,2036,5950,0.017,0.176,-0.008,25,1,1007235,513178,459304,2824,3179,62,100200,6570,0.12,0.072,386,124400,6100,-0.07154,467,132430,6000,-0.08676,372,123700,6190,-0.05784,딥마인드,-0.07154
4027,20250702,217500,0,0.006,-0.016,-0.004,4,491,58422,38897,18859,170,320,1743,-0.002,-0.002,-0.069,0,48,13519,10522,2997,109,21,1,93130,1696,0.072,0.05,699,153000,1724,0.01651,699,153000,1724,0.01651,699,153000,1724,0.01651,러셀,0.01651
4026,20250702,267270,0.004,0.043,-0.012,-0.007,64,689,168413,88915,77118,3388,3092,75500,0.091,0.183,0.072,20,3,1501776,760705,741071,22042,25027,34,94800,86000,0.104,0.062,699,153000,87000,0.01163,699,153000,87000,0.01163,699,153000,87000,0.01163,HD현대건설기계,0.01163
