,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,maxProfit,minProfit,lastProfit,imax,imin,hname,profit
4047,20250703,900120,0.078,0.219,0.031,0.078,54,7,80716014,41887808,35870390,30035,57740,69,-0.014,0.072,-0.014,7,0,15472312,6965124,8507188,6560,5257,0,93100,72,0.0396667,-0.0297778,-0.0158889,41,264,씨엑스아이,-0.0158889
4046,20250703,462860,0.012,0.023,-0.076,-0.061,0,495,3764369,2371143,1223698,9370,6553,4330,0.02,0.07,0.007,8,32,1571901,955549,616352,3847,4028,11,93630,4520,0.0267611,-0.0584159,-0.0451416,94,491,더즌,-0.048
4045,20250703,308100,0.3,0.3,0.171,0.3,18,18,7522935,4380607,2707007,13773,11663,4945,0.07,0.226,0.048,10,0,6589052,3268709,3175750,16001,16469,612,143700,5780,-0.0106505,-0.130028,-0.110997,0,80,형지글로벌,-0.048
4044,20250703,300080,-0.006,-0.006,-0.061,-0.011,0,252,84020,46860,34919,1256,812,12160,0.172,0.174,0.086,0,49,220344,134299,79801,2387,1694,29,94530,13720,0.0256968,-0.0413586,-0.0413586,9,1190,플리토,-0.0413586
4043,20250703,274400,-0,0.011,-0.041,-0.011,2,177,24269,19121,4783,186,167,4840,0.147,0.153,0.024,8,31,155386,99685,54543,1202,813,92,101700,5320,-0.002,-0.0471128,-0.0226767,3,433,이노시뮬레이션,-0.0226767
4042,20250703,270520,-0.001,0.298,-0.01,0.235,615,35,21332502,9248420,11509157,17739,21436,1398,-0.058,0.016,-0.064,23,2,1768230,932920,835310,2205,1816,7,93430,1371,0.00164697,-0.0377403,-0.022423,109,472,앱트뉴로사이언스,-0.022423
4041,20250703,192410,0.008,0.23,-0.034,0.105,57,5,3199175,1653723,1446452,5697,6292,2210,-0.023,0.032,-0.068,12,39,353546,215231,138315,385,417,499,134030,2190,-0.00884932,-0.0476621,-0.0385297,1,179,오늘이엔엠,-0.0385297
4040,20250703,093240,0.099,0.17,-0.064,0.019,4,48,61694647,32278395,28459210,73514,81510,3180,0.019,0.047,-0.036,1,25,3379164,1991545,1387619,4238,4004,19,94030,3230,0.0320557,-0.0654675,-0.0190279,586,419,형지엘리트,-0.048
4039,20250703,094860,0.01,0.046,-0.01,-0.009,1,33,13123,7060,3649,43,66,999,0.135,0.165,0.047,0,24,198203,130725,63377,472,333,52,95700,1111,0.0502052,-0.115411,-0.0992097,9,434,네오리진,-0.048
4038,20250703,070300,0.002,0.118,0.002,0.055,171,0,663201,298221,332668,1110,2738,2415,0.06,0.268,0.055,29,0,1259607,645218,591179,3029,3587,2,93200,2330,-0.00414592,-0.130755,-0.126464,0,681,엑스큐어,-0.048
4037,20250703,017940,0.01,0.017,-0.034,0.016,619,128,27514,17526,9337,1561,966,84700,0.02,0.092,0.019,18,0,24796,9501,15295,530,604,27,94430,89400,0.00918568,-0.0232528,-0.01766,34,522,E1,-0.01766
4036,20250703,043710,0.002,0.113,-0.1,-0.027,33,674,1064704,536967,485868,1411,1629,1221,-0.039,-0.038,-0.135,0,22,227060,136203,71586,389,320,9,93530,1125,0.0495556,-0.0535556,-0.0268889,16,97,서울리거,-0.048
4035,20250702,950140,0.028,0.055,-0.009,0.02,360,24,763253,401841,333110,6242,6744,13290,0.004,0.014,-0.05,8,19,90386,58363,32023,895,473,597,142930,13230,-0.00275586,-0.0171172,-0.0171172,0,102,잉글우드랩,-0.0171172
4034,20250702,338840,0.002,0.012,-0.02,-0.003,481,6,40684,22174,18052,463,388,9030,0.058,0.141,0.041,24,7,169946,88637,81309,1352,1359,7,93430,9770,0.0409887,-0.0286121,-0.0224708,174,29,와이바이오로직스,-0.0224708
4033,20250702,314130,0.011,0.059,-0.011,0.032,123,3,221605,88960,129708,819,903,2775,0.067,0.135,0.047,12,48,720834,371712,349122,1557,1827,19,94030,3065,0.0469396,-0.0378891,0.00289396,558,399,지놈앤컴퍼니,0.00289396
4032,20250702,308430,0.01,0.06,-0.022,0.046,421,44,586238,287200,295516,4386,3524,21750,0.037,0.062,0,4,39,155426,86962,68464,1043,1071,619,144030,22600,-0.002,-0.0307611,-0.0285487,0,134,셀비온,-0.0285487
4031,20250702,290660,-0,-0,-0.072,-0.059,0,57,775621,563052,173915,1208,884,1600,0.021,0.093,0.02,1,49,103677,61299,42378,188,186,22,94200,1681,0.128874,-0.0115181,0.00335396,78,424,네오펙트,0.09
4030,20250702,36328K,0.103,0.175,-0.103,-0.081,68,17,928873,494581,379159,7421,8432,6000,0.033,0.035,-0.038,0,41,15170,11070,4100,176,95,31,94630,6050,0.00295868,-0.0532397,-0.0300992,1,360,티와이홀딩스우,-0.048
4029,20250702,229000,-0.012,0.032,-0.085,-0.028,65,150,621594,344601,249402,1461,1543,1968,0.146,0.161,0.082,19,15,693035,433090,259945,1637,1379,16,93900,2210,0.0658733,-0.138199,-0.115122,51,507,젠큐릭스,-0.048
4028,20250702,223310,-0.02,0.032,-0.044,0,664,60,796389,483818,296345,2316,2036,5950,0.017,0.176,-0.008,25,1,1007235,513178,459304,2824,3179,62,100200,6570,0.00713242,-0.0948463,-0.04614,6,407,딥마인드,-0.048
4027,20250702,217500,0,0.006,-0.016,-0.004,4,491,58422,38897,18859,170,320,1743,-0.002,-0.002,-0.069,0,48,13519,10522,2997,109,21,1,93130,1696,0.0168679,0.0121509,0.0145094,38,148,러셀,0.0145094
4026,20250702,267270,0.004,0.043,-0.012,-0.007,64,689,168413,88915,77118,3388,3092,75500,0.091,0.183,0.072,20,3,1501776,760705,741071,22042,25027,34,94800,86000,0.0491628,-0.0392093,-0.0287442,601,63,HD현대건설기계,-0.0287442
4025,20250702,205500,0.018,0.1,-0.029,-0.003,2,20,4888554,2553354,2231661,12517,13765,4440,-0.056,-0.014,-0.077,16,6,614157,348474,236415,903,773,15,93830,4270,-0.0125386,-0.0664028,-0.0382998,1,372,넥써쓰,-0.048
4024,20250702,093240,-0.009,0.009,-0.13,-0.096,0,135,6498379,3443247,2037495,10818,10114,3120,0.13,0.133,-0.064,0,38,7460676,4484108,2885702,10574,8760,44,95300,3260,0.113031,-0.0311411,-0.0265399,255,647,형지엘리트,0.09
4023,20250702,042670,0.006,0.023,-0.017,-0.011,77,748,2300053,1212397,1014217,10041,10137,12500,0.034,0.052,-0.008,14,37,4146746,2207522,1939224,14085,12961,29,94530,12850,0.0431362,-0.0284591,0.0236809,890,76,HD현대인프라코어,0.0236809
4022,20250702,084440,-0.01,-0.01,-0.034,-0.019,0,419,46034,28522,16315,180,160,1217,0.005,0.005,-0.053,0,39,6128,5639,489,21,29,385,124330,1204,0.00464452,-0.021103,-0.0161196,0,276,유비온,-0.0161196
4021,20250702,020760,-0.001,0.029,-0.045,-0.029,195,11,832069,543225,254326,832,921,997,0.13,0.132,0.022,0,36,684539,431955,252584,1012,885,108,102500,1088,0.00443382,-0.0672574,-0.0203824,11,20,일진디스플,-0.048
4020,20250702,054180,0.007,0.277,0.007,0.155,28,0,41842582,20608228,19619828,15325,27340,171,0.018,0.029,-0.058,1,7,2611776,1749230,862546,501,360,62,100200,171,-0.002,-0.107263,-0.107263,5,637,메디콕스,-0.048
4019,20250702,007700,0.009,0.134,0.005,0.068,145,11,587494,269439,305506,4590,6000,23500,-0.038,-0.015,-0.081,0,40,66963,45278,21685,561,449,260,114100,22450,0.0336347,-0.00868151,0.00468151,375,99,F&F홀딩스,0.00468151
4018,20250702,043200,0.047,0.135,0.031,0.037,37,14,6084368,3225728,2800929,12391,12913,1535,0.055,0.137,0.04,34,0,5705059,2612726,2966215,5592,6206,75,100830,1685,0.00274777,-0.0678754,-0.0465104,0,292,파루,-0.048
4017,20250702,040160,-0,0.032,-0.029,-0.029,22,760,24883,11221,11616,145,136,3475,0.019,0.019,-0.043,0,46,33826,12331,21495,39,75,9,93530,3465,0.002329,-0.0727071,0.000886003,21,110,누리플렉스,-0.048
4016,20250702,039830,-0.036,0.154,-0.147,-0.043,534,85,7163927,3807916,3152141,44925,63199,16400,0.023,0.098,0.009,3,12,436095,219992,216103,3438,3712,10,93600,17400,0.060069,-0.124989,0.060069,689,56,오로라,-0.048
4015,20250702,011080,0.005,0.006,-0.066,-0.054,0,151,4894320,2737480,1372895,3625,3605,903,0.262,0.264,0.13,0,43,8951518,5286798,3664720,6140,6035,9,93530,1084,0.0801033,-0.0241402,0.0801033,177,24,형지I&C,0.0787685
4014,20250702,010170,0.002,0.093,0.002,0.075,749,0,3161407,1230789,1895992,1907,3428,1033,-0.019,0.002,-0.061,8,43,257460,182676,74784,378,208,27,94430,1011,0.00393472,-0.0366192,-0.0128803,1,494,대한광통신,-0.0128803
4013,20250701,263050,0.138,0.283,0.026,0.252,468,35,10959473,5671369,4823732,32650,35411,2680,-0.088,-0.037,-0.093,0,17,338469,209106,129363,696,553,79,101030,2520,0.123,-0.0119206,0.0654603,121,59,유틸렉스,0.09
4012,20250701,236810,-0.01,0.004,-0.078,-0.078,0,760,2977209,1686987,1000513,5281,5461,3725,0.13,0.15,0.052,4,35,2426647,1574591,852056,6984,4983,265,114330,4125,0.109515,-0.0359394,0.0113333,368,168,엔비티,0.09
4011,20250701,232830,0,0.05,-0.022,0.029,149,7,140993,88191,48888,351,543,2990,0.042,0.084,-0.003,10,42,153276,61455,91821,263,253,4,93300,3125,-0.0068,-0.058,-0.0564,0,190,아이티센피엔에스,-0.048
4010,20250701,214270,0.007,0.299,-0.007,0.299,572,0,9450588,4301483,5007737,16644,22276,3560,-0.029,-0.029,-0.093,0,50,370785,0,0,0,0,59,100030,3370,0.0232226,-0.0168368,-0.002,60,180,FSN,-0.002
4009,20250701,203400,-0.011,0.02,-0.299,-0.297,2,709,14431650,7873324,5468167,40950,41958,9020,0.04,0.091,-0.032,3,19,1501863,855014,646849,4973,5307,69,100530,9390,0.00758466,-0.0637678,-0.0371438,4,408,에이비온,-0.048
4008,20250701,192410,0,0.3,0,0.184,27,0,8171748,4598197,3407405,18173,19004,2150,-0.016,-0.014,-0.088,0,42,308978,199398,109580,618,330,87,101430,2055,0.0636934,-0.028764,-0.028764,317,612,오늘이엔엠,-0.028764
4007,20250701,184230,0,0,-0.025,-0.015,0,23,270882,130722,137970,218,392,587,0.02,0.077,-0.003,23,7,252719,97016,155703,172,208,99,102030,610,0.00291803,-0.0380656,-0.0167541,6,557,SGA솔루션즈,-0.0167541
4006,20250701,146060,-0.009,0.03,-0.01,0.028,502,0,51547,26959,24069,158,230,1381,0,0,-0.062,0,43,16220,16143,77,113,8,216,111900,1371,0.00748213,-0.0107527,-0.00127061,396,50,율촌,-0.00127061
4005,20250701,090150,-0.001,0.004,-0.013,-0.001,26,191,70838,45408,24206,78,164,758,0.011,0.062,0,1,2,25355,11555,13800,42,57,3,93230,785,0.00309554,-0.0325732,-0.0160127,0,636,아이윈,-0.0160127
4004,20250701,082270,-0.002,0.02,-0.041,-0.038,365,696,234430,132785,95693,3161,4042,61500,-0.018,-0.016,-0.073,0,37,136263,72274,63989,1332,1534,74,100800,59400,0.0434545,-0.012101,0.035037,484,17,젬백스,0.035037
4003,20250701,069540,0,0.228,-0.034,0.154,685,7,5580928,2586399,2883287,7845,9627,1230,0.101,0.178,0.076,5,50,2682443,1559297,1009661,3295,2632,34,94800,1395,0.0460287,-0.0378423,0.0202222,133,57,빛과전자,0.0202222
4002,20250701,043100,-0.001,0.053,-0.005,0.047,757,0,81957,21474,59659,256,328,4035,0.014,0.022,-0.051,16,13,12976,6371,6605,87,59,69,100530,4015,0.0191706,-0.0306426,-0.00698132,1,14,알파녹스,-0.00698132
4001,20250701,000215,0.014,0.023,-0.014,-0.002,89,53,2605,1873,706,170,66,24300,0.033,0.091,0.029,19,6,5477,1824,3653,107,138,18,94000,25850,0.0154081,-0.0329478,-0.0290793,9,585,DL우,-0.0290793
