,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,volTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
2686,2025-02-14,464500,-0.0,0.024,-0.01,0.001,24,76,424435,230780,104928,1110,1981,3995,0.056,0.131,0.039,2424428,0.089,0.08,111,173,95600,102700,4525,4930,0.0895,아이언디바이스
2685,2025-02-14,452450,0.0,0.087,-0.05,0.0,147,50,14068865,7596617,6041716,38955,41807,8140,0.015,0.13,0.013,9364192,0.115,0.08,547,760,133400,153000,9220,9400,0.01952,피아이이
2684,2025-02-14,356860,0.001,0.023,-0.007,0.006,21,414,79445,40812,37259,567,752,14280,0.06,0.166,0.04,1068691,0.104,0.08,188,489,103430,130500,16680,18430,0.10492,티엘비
2683,2025-02-14,241520,0.299,0.299,0.153,0.185,7,749,20398948,13795729,5511810,29561,26604,4420,-0.008,0.106,-0.008,4311500,0.115,0.08,102,113,95130,95700,4895,4500,-0.08069,DSC인베스트먼트
2682,2025-02-14,240550,0.403,0.475,-0.079,-0.078,6,758,30367154,17652990,11442745,170114,156906,9680,-0.016,0.067,-0.054,3642304,0.128,0.08,120,760,100030,153000,10350,9900,-0.04348,동방메디컬
2681,2025-02-14,119830,0.0,0.013,-0.022,0.0,28,2,87504,39670,46880,110,213,5370,0.007,0.147,0.002,1688350,0.121,0.08,119,444,100000,124230,6180,5680,-0.08091,아이텍
2680,2025-02-14,092870,0.003,0.014,-0.01,0.003,152,11,96150,45817,46371,603,577,13400,0.099,0.117,0.008,1060427,0.108,0.08,299,760,113000,153000,14990,14030,-0.06404,엑시콘
2679,2025-02-14,080580,0.0,0.027,-0.011,0.017,644,77,133761,59114,69209,369,522,5370,0.108,0.166,0.048,1331236,0.103,0.08,93,760,94700,153000,6280,6290,0.00159,오킨스전자
2678,2025-02-14,009730,0.017,0.082,-0.002,0.014,320,759,2195740,1176300,995454,2243,2357,1121,0.01,0.099,0.01,1144807,0.088,0.08,213,435,104700,123800,1234,1344,0.08914,이렘
2677,2025-02-14,475150,0.012,0.031,-0.005,0.017,345,38,514509,272436,230042,2936,2651,13130,0.005,0.1,0.005,1028789,0.094,0.08,234,760,105730,153000,14460,14530,0.00484,SK이터닉스
2676,2025-02-14,007460,0.0,0.047,-0.012,0.025,723,188,2077259,1080041,950179,1078,1692,748,0.0,0.09,-0.005,3929038,0.095,0.08,187,760,103400,153000,817,785,-0.03917,에이프로젠
2675,2025-02-14,003060,0.0,0.133,-0.019,0.09,716,279,1826920,793965,943014,1905,2403,730,0.001,0.199,0.001,4438699,0.074,0.074,187,325,103400,114300,877,812,-0.07412,에이프로젠바이오로직
2674,2025-02-13,340930,0.0,0.253,-0.079,0.048,149,53,10873965,5760708,4560929,23574,25594,2050,0.063,0.137,-0.047,1226063,0.133,0.08,90,140,94530,101030,2335,2145,-0.08137,유일에너테크
2673,2025-02-13,113810,-0.0,0.132,-0.019,0.002,87,1,8488333,4553496,3602864,12311,14117,2090,-0.022,0.089,-0.033,1635402,0.126,0.08,93,760,94700,153000,2280,2185,-0.04167,디젠스
2672,2025-02-13,089010,-0.016,0.072,-0.045,0.033,322,166,1794994,803971,709990,9488,8502,25050,0.064,0.138,0.022,2507330,0.113,0.08,127,706,100400,145330,28550,26250,-0.08056,켐트로닉스
2671,2025-02-13,042670,0.012,0.017,-0.009,0.011,32,200,1578245,880148,605241,6683,4622,8120,0.048,0.149,0.042,12344864,0.103,0.08,108,760,95430,153000,9350,9270,-0.00856,HD현대인프라코어
2670,2025-02-13,000880,0.015,0.186,-0.003,0.16,676,10,3580667,1559440,1936865,19278,29389,37700,-0.004,0.084,-0.017,1162778,0.103,0.08,176,760,102830,153000,40900,42150,0.03056,한화
2669,2025-02-13,000680,0.001,0.272,-0.049,0.206,371,4,20856552,10815104,9387747,43657,46923,4190,0.019,0.122,-0.036,9122931,0.149,0.08,96,150,94830,101530,4705,4325,-0.08077,LS네트웍스
2668,2025-02-12,474610,0.018,0.207,-0.011,0.171,639,57,17901563,9025725,8262251,44406,51045,5450,0.046,0.165,0.04,8294768,0.104,0.08,93,432,94700,123630,6370,5860,-0.08006,RF시스템즈
2667,2025-02-12,450950,-0.023,0.046,-0.037,-0.003,748,1,4371281,2143067,1865166,13497,15068,8620,0.012,0.133,-0.019,4751352,0.136,0.08,231,760,105600,153000,9790,9430,-0.03677,아스테라시스
2666,2025-02-12,340930,0.149,0.3,0.057,0.3,33,4,7808280,3883806,3237520,14916,18814,1956,0.0,0.017,-0.079,1171648,0.104,0.08,134,141,100730,101100,1993,2205,0.10637,유일에너테크
2665,2025-02-12,288330,0.025,0.093,0.006,0.044,222,13,1756672,817310,917772,2535,3425,4500,0.036,0.131,0.009,1931087,0.121,0.08,496,760,130830,153000,5110,5450,0.06654,브릿지바이오테라퓨틱
2664,2025-02-12,208710,0.045,0.238,0.022,0.076,153,1,27537356,14213331,12652000,23530,25883,677,-0.04,0.035,-0.059,1413383,0.1,0.08,319,760,114000,153000,703,704,0.00142,바이오로그디바이스
2663,2025-02-12,272210,0.032,0.054,0.012,0.02,9,55,4332712,2211584,1887315,19783,17359,25300,0.016,0.117,0.014,7194665,0.101,0.08,92,536,94630,132830,28300,31200,0.10247,한화시스템
2662,2025-02-11,482630,0.017,0.299,0.015,0.299,742,0,7717852,3802306,3829246,49396,55473,22150,0.02,0.088,-0.016,2576899,0.106,0.08,292,445,112630,124300,24150,26750,0.10766,삼양엔씨켐
2661,2025-02-11,331520,0.026,0.182,0.022,0.08,48,0,10767676,5640740,4714003,13617,15184,801,-0.008,0.169,-0.012,6683458,0.102,0.08,704,760,145230,153000,938,931,-0.00746,밸로프
2660,2025-02-11,172670,0.099,0.289,0.07,0.163,665,2,5163763,2647232,2318642,28403,30967,11980,0.036,0.181,0.007,1652986,0.091,0.08,234,243,105730,110200,14170,15470,0.09174,에이엘티
2659,2025-02-11,126700,0.001,0.138,-0.015,0.099,551,6,1408017,578216,715224,7992,6743,19600,0.064,0.094,-0.017,1025260,0.114,0.08,478,760,125930,153000,21500,21000,-0.02326,하이비젼시스템
2658,2025-02-11,090710,0.032,0.298,0.019,0.275,471,0,99148063,48900254,47578345,76191,95393,2515,-0.056,0.089,-0.064,29421669,0.163,0.08,208,723,104430,150200,2745,2525,-0.08015,휴림로봇
2657,2025-02-11,009310,-0.022,-0.003,-0.039,-0.039,3,760,243909,109935,63899,113,142,343,0.0,0.195,0.0,1092951,0.077,0.077,141,760,101100,153000,411,393,-0.0438,참엔지니어링
2656,2025-02-10,466100,0.019,0.214,0.015,0.16,80,0,29783127,15083916,14044337,143903,154748,19100,0.006,0.086,-0.0,6103918,0.086,0.08,186,760,103330,153000,20800,19640,-0.05577,클로봇
2655,2025-02-10,450950,-0.004,0.132,-0.005,0.02,269,1,6127658,2987560,2511611,21694,25670,7650,0.05,0.183,0.044,5102351,0.088,0.08,102,760,95130,153000,9070,8650,-0.04631,아스테라시스
2654,2025-02-10,215100,0.006,0.057,-0.008,0.013,164,3,811386,416994,356091,2235,2360,4360,0.011,0.134,0.005,3194358,0.129,0.08,253,760,110700,153000,4950,4695,-0.05152,로보로보
2653,2025-02-10,140670,0.002,0.123,-0.003,0.07,215,4,2523525,1233663,1178412,15099,17924,17190,0.031,0.124,0.026,1941983,0.096,0.08,443,463,124200,125200,19350,21250,0.09819,알에스오토메이션
2652,2025-02-10,128660,0.0,0.002,-0.008,-0.005,32,562,30327,24250,4649,116,75,2980,0.04,0.166,0.04,3033812,0.105,0.08,126,650,100330,142530,3480,3200,-0.08046,피제이메탈
2651,2025-02-10,102120,0.011,0.299,-0.009,0.299,342,48,14127124,7007768,6891756,53509,58967,12930,-0.01,0.063,-0.03,3065014,0.096,0.08,90,760,94530,153000,13760,13260,-0.03634,어보브반도체
2650,2025-02-10,090710,0.0,0.243,-0.002,0.172,172,0,63541605,31417757,30745470,54043,64256,1972,0.032,0.187,0.019,28842540,0.085,0.08,273,470,111700,125530,2345,2545,0.08529,휴림로봇
2649,2025-02-10,006140,-0.011,0.014,-0.036,0.004,28,205,28828,20299,7414,179,207,5620,0.032,0.182,0.021,1247778,0.089,0.08,153,487,101700,130400,6660,6130,-0.07958,피제이전자
2648,2025-02-10,092200,-0.0,0.267,-0.011,0.131,718,2,7088673,3315382,3382311,15522,15962,4520,-0.011,0.162,-0.031,4997620,0.106,0.08,145,760,101300,153000,5270,5280,0.0019,디아이씨
2647,2025-02-10,012170,0.0,0.017,-0.046,-0.042,2,747,988756,647410,297298,592,393,230,-0.013,-0.013,-0.109,1186544,0.107,0.08,296,760,112830,153000,228,230,0.00877,아센디오
2646,2025-02-07,475400,0.01,0.057,-0.042,0.016,660,61,1353028,707619,605791,10224,13187,31300,0.022,0.181,0.0,1750027,0.091,0.08,-1,-1,-1,-1,37000,-1,-1.0,씨메스
2645,2025-02-07,464080,-0.0,0.021,-0.025,0.009,15,225,1192084,590963,389845,5152,4472,12780,0.03,0.128,0.01,2869383,0.116,0.08,99,151,95000,101600,14430,16120,0.11712,에스오에스랩
2644,2025-02-07,112290,0.046,0.298,-0.011,0.298,732,38,2401843,931004,1372847,14022,15611,25000,0.1,0.132,0.04,2542078,0.088,0.08,106,760,95330,153000,28350,27200,-0.04056,와이씨켐
2643,2025-02-07,102120,0.013,0.022,-0.027,-0.005,3,623,1526381,876353,508500,5616,4511,9950,0.011,0.087,-0.009,1211050,0.097,0.08,111,261,95600,111100,10840,11910,0.09871,어보브반도체
2642,2025-02-07,064350,-0.005,0.195,-0.064,0.17,750,108,8797851,3335842,5225805,59543,100976,71500,0.035,0.13,0.031,3397346,0.096,0.08,104,760,95230,153000,81000,79600,-0.01728,현대로템
