,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
469,2025-07-01,377220,-0.002,0.032,-0.002,0.019,23,0,264760,103092,151997,288,799,2100,0.014,0.074,0.002,50,50,281161,71652,209509,253,428,0.071,0.05,11,699,93630,153000,2200,2150,-0.02273,프롬바이오
468,2025-07-01,263050,0.138,0.283,0.026,0.252,468,35,10959473,5671369,4823732,32650,35411,2680,-0.088,-0.037,-0.093,0,17,338469,209106,129363,696,553,0.062,0.05,79,199,101030,111030,2525,2685,0.06337,유틸렉스
467,2025-07-01,236810,-0.01,0.004,-0.078,-0.078,0,760,2977209,1686987,1000513,5281,5461,3725,0.13,0.15,0.052,4,35,2426647,1574591,852056,6984,4983,0.093,0.065,268,595,114500,142830,4145,4535,0.09409,엔비티
466,2025-07-01,215380,0.0,0.015,-0.051,-0.025,3,560,216647,149002,62870,439,314,1777,0.019,0.096,0.018,4,0,77905,34307,43598,77,107,0.076,0.053,76,699,100900,153000,1895,1819,-0.04011,우정바이오
465,2025-07-01,214270,0.007,0.299,-0.007,0.299,572,0,9450588,4301483,5007737,16644,22276,3560,-0.029,-0.029,-0.093,0,50,370785,0,0,0,0,0.07,0.05,59,699,100030,153000,3370,3370,0.0,FSN
464,2025-07-01,203400,-0.011,0.02,-0.299,-0.297,2,709,14431650,7873324,5468167,40950,41958,9020,0.04,0.091,-0.032,3,19,1501863,855014,646849,4973,5307,0.1,0.07,71,699,100630,153000,9420,9060,-0.03822,에이비온
463,2025-07-01,192410,0.0,0.3,0.0,0.184,27,0,8171748,4598197,3407405,18173,19004,2150,-0.016,-0.014,-0.088,0,42,308978,199398,109580,618,330,0.081,0.057,87,699,101430,153000,2060,2000,-0.02913,오늘이엔엠
462,2025-07-01,090150,-0.001,0.004,-0.013,-0.001,26,191,70838,45408,24206,78,164,758,0.011,0.062,0.0,1,2,25355,11555,13800,42,57,0.062,0.05,3,699,93230,153000,788,774,-0.01777,아이윈
461,2025-07-01,082270,-0.002,0.02,-0.041,-0.038,365,696,234430,132785,95693,3161,4042,61500,-0.018,-0.016,-0.073,0,37,136263,72274,63989,1332,1534,0.061,0.05,70,699,100600,153000,59300,61200,0.03204,젬백스
460,2025-07-01,069540,0.0,0.228,-0.034,0.154,685,7,5580928,2586399,2883287,7845,9627,1230,0.101,0.178,0.076,5,50,2682443,1559297,1009661,3295,2632,0.095,0.067,42,699,95200,153000,1401,1426,0.01784,빛과전자
459,2025-07-01,054180,0.0,0.171,-0.05,0.057,95,6,10173240,5356259,4516561,3545,6662,148,0.162,0.277,0.142,18,0,16182270,8013212,7716184,3431,6388,0.049,0.05,18,49,94000,95530,182,173,-0.04945,메디콕스
458,2025-07-01,043100,-0.001,0.053,-0.005,0.047,757,0,81957,21474,59659,256,328,4035,0.014,0.022,-0.051,16,13,12976,6371,6605,87,59,0.077,0.054,69,699,100530,153000,4015,3995,-0.00498,알파녹스
