,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,maxProfit,minProfit,lastProfit,imax,imin,hname,profit
4059,20250702,950140,0.028,0.055,-0.009,0.02,360,24,763253,401841,333110,6242,6744,13290,0.004,0.014,-0.05,8,19,90386,58363,32023,895,473,575,141830,13160,0.00255927,-0.0118784,-0.0118784,22,124,잉글우드랩,-0.0118784
4058,20250702,338840,0.002,0.012,-0.02,-0.003,481,6,40684,22174,18052,463,388,9030,0.058,0.141,0.041,24,7,169946,88637,81309,1352,1359,165,105330,9960,0.0210924,-0.0431647,-0.0411566,16,1052,와이바이오로직스,-0.0411566
4056,20250702,308430,0.01,0.06,-0.022,0.046,421,44,586238,287200,295516,4386,3524,21750,0.037,0.062,0,4,39,155426,86962,68464,1043,1071,619,144030,22600,-0.002,-0.0307611,-0.0285487,0,134,셀비온,-0.0285487
4051,20250702,223310,-0.02,0.032,-0.044,0,664,60,796389,483818,296345,2316,2036,5950,0.017,0.176,-0.008,25,1,1007235,513178,459304,2824,3179,63,100230,6580,0.00559878,-0.0962249,-0.0475927,5,406,딥마인드,-0.048
4045,20250702,084440,-0.01,-0.01,-0.034,-0.019,0,419,46034,28522,16315,180,160,1217,0.005,0.005,-0.053,0,39,6128,5639,489,21,29,157,104930,1197,0.0105313,-0.0153668,-0.0103542,228,30,유비온,-0.0103542
4044,20250702,020760,-0.001,0.029,-0.045,-0.029,195,11,832069,543225,254326,832,921,997,0.13,0.132,0.022,0,36,684539,431955,252584,1012,885,108,102500,1087,0.00535971,-0.0663974,-0.0194793,11,20,일진디스플,-0.048
4043,20250702,054180,0.007,0.277,0.007,0.155,28,0,41842582,20608228,19619828,15325,27340,171,0.018,0.029,-0.058,1,7,2611776,1749230,862546,501,360,62,100200,171,-0.002,-0.107263,-0.107263,5,637,메디콕스,-0.048
4042,20250702,007700,0.009,0.134,0.005,0.068,145,11,587494,269439,305506,4590,6000,23500,-0.038,-0.015,-0.081,0,40,66963,45278,21685,561,449,288,115500,22600,0.0267611,-0.0152743,-0.002,347,71,F&F홀딩스,-0.002
4041,20250702,043200,0.047,0.135,0.031,0.037,37,14,6084368,3225728,2800929,12391,12913,1535,0.055,0.137,0.04,34,0,5705059,2612726,2966215,5592,6206,75,100830,1688,0.000962085,-0.0695355,-0.0482085,0,292,파루,-0.048
4035,20250701,263050,0.138,0.283,0.026,0.252,468,35,10959473,5671369,4823732,32650,35411,2680,-0.088,-0.037,-0.093,0,17,338469,209106,129363,696,553,79,101030,2525,0.120772,-0.0138812,0.0633465,121,59,유틸렉스,0.12
4034,20250701,236810,-0.01,0.004,-0.078,-0.078,0,760,2977209,1686987,1000513,5281,5461,3725,0.13,0.15,0.052,4,35,2426647,1574591,852056,6984,4983,268,114500,4145,0.104152,-0.0406007,0.00644391,365,165,엔비티,0.00644391
4033,20250701,215380,0,0.015,-0.051,-0.025,3,560,216647,149002,62870,439,314,1777,0.019,0.096,0.018,4,0,77905,34307,43598,77,107,76,100900,1895,0.021219,-0.0421055,-0.0421055,33,623,우정바이오,-0.0421055
4032,20250701,214270,0.007,0.299,-0.007,0.299,572,0,9450588,4301483,5007737,16644,22276,3560,-0.029,-0.029,-0.093,0,50,370785,0,0,0,0,59,100030,3370,0.0232226,-0.0168368,-0.002,60,180,FSN,-0.002
4031,20250701,203400,-0.011,0.02,-0.299,-0.297,2,709,14431650,7873324,5468167,40950,41958,9020,0.04,0.091,-0.032,3,19,1501863,855014,646849,4973,5307,71,100630,9420,0.00436943,-0.0667558,-0.0402166,2,406,에이비온,-0.048
4030,20250701,192410,0,0.3,0,0.184,27,0,8171748,4598197,3407405,18173,19004,2150,-0.016,-0.014,-0.088,0,42,308978,199398,109580,618,330,87,101430,2060,0.0611068,-0.0311262,-0.0311262,317,612,오늘이엔엠,-0.0311262
4028,20250701,082270,-0.002,0.02,-0.041,-0.038,365,696,234430,132785,95693,3161,4042,61500,-0.018,-0.016,-0.073,0,37,136263,72274,63989,1332,1534,70,100600,59300,0.0452175,-0.0104317,0.0367858,488,21,젬백스,0.0367858
4025,20250701,043100,-0.001,0.053,-0.005,0.047,757,0,81957,21474,59659,256,328,4035,0.014,0.022,-0.051,16,13,12976,6371,6605,87,59,69,100530,4015,0.0191706,-0.0306426,-0.00698132,1,14,알파녹스,-0.00698132
4019,20250630,321820,0.031,0.052,-0.025,-0.01,281,29,497570,278640,213643,3999,3249,10470,-0.134,-0.131,-0.217,0,4,327501,155809,162390,1537,980,145,104330,8760,-0.00314155,-0.0510868,-0.0396712,13,476,아티스트컴퍼니,-0.048
