,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
3208,20241023,180400,135952,135952,143157,2840,2580,2895,2530,44,22,2660,12.950,2755,2575,8,19,94.230,10449167,5175606,4876911,16713,17647,546,1.750,13.160,5.740,27762,20777,3400,2355,4080,2355,0.026,-0.109,-0.100,667,748,DXVX,-0.048
3207,20241023,180400,135621,135616,142828,2585,2350,2895,2530,37,15,2700,14.650,2755,2530,1,15,96.020,10182707,4992303,4793754,15702,16709,546,1.910,14.650,6.090,27056,20754,3400,2355,4080,2355,0.011,-0.122,-0.113,667,748,DXVX,-0.048
3203,20241023,417840,134050,134044,141253,8440,7660,8490,8040,59,46,8280,6.150,8380,8210,4,14,106.710,63011,28596,30516,523,487,12,2.990,16.210,14.840,72245,66277,10100,7330,10100,7200,0.008,-0.013,0.006,625,699,저스템,0.006
3173,20241023,001840,103202,103200,110404,2555,2320,2745,2410,24,37,2480,7.130,2710,2480,18,0,88.170,944014,495921,437235,1844,2152,374,3.730,19.890,9.910,18494,6245,2825,2315,3765,2310,0.024,-0.028,0.008,707,290,이화공영,0.008
2932,20241017,087600,125414,125409,132619,7980,7250,8190,6980,60,51,7160,-1.240,7190,7120,13,1,49.980,157799,99486,49724,1242,1192,234,-0.940,1.820,0.600,2480,694,7600,6900,9490,6740,0.013,-0.007,-0.004,614,543,픽셀플러스,-0.004
2922,20241017,456070,123039,123037,130241,22250,20200,24250,22300,6,47,23850,19.670,24250,23150,6,15,125.300,3375088,1488563,1865101,17148,21514,562,2.100,19.920,13.080,76015,306162,38250,18350,38250,17200,0.031,-0.015,0.008,535,522,이엔셀,0.008
2901,20241017,215790,103443,103441,110651,524,476,523,460,60,13,473,2.380,473,460,0,13,67.050,283431,158609,106342,393,368,92,-0.690,6.090,3.500,856,57,579,462,656,462,0.042,-0.038,0.030,621,283,이노인스트루먼트,0.030
2888,20241017,351870,93846,93840,101051,13480,12250,14300,13110,54,28,13770,11.410,13930,13220,0,20,93.320,908180,448855,418884,5862,6924,562,1.690,15.250,11.810,138497,12316,22250,12360,22250,12360,0.027,-0.100,-0.077,187,539,차이커뮤니케이션,-0.048
2784,20241015,009190,135340,135339,142547,1907,1733,2100,1716,60,52,1773,1.370,1775,1751,5,18,65.290,1879322,964732,629879,2895,2613,511,-1.170,5.210,1.370,1534,3508,2360,1621,2360,1588,0.021,-0.010,0.015,740,666,대양금속,0.015
2756,20241015,294090,111120,111117,114326,5790,5260,5910,5560,6,47,5810,9.010,5910,5690,6,16,101.650,523287,253862,258052,1462,1795,539,1.010,9.010,2.550,2942,242,7150,5330,15080,5330,0.153,-0.014,0.012,454,347,이오플로우,0.080
2652,20241014,069640,90222,90215,93429,1930,1754,1990,1777,49,55,1825,4.110,1867,1820,18,1,91.140,439484,207325,188946,2484,2944,496,0.700,4.110,2.520,832,236,2305,1660,2305,1561,0.006,-0.055,-0.055,71,760,한세엠케이,-0.048
2598,20241011,030350,91750,91747,94954,282,256,284,262,59,22,270,5.470,272,263,10,15,137.520,2597529,1053522,1448831,1814,2395,352,0.750,7.690,4.690,7630,706,485,251,490,251,0.000,-0.052,-0.044,99,429,드래곤플라이,-0.048
2487,20241008,059270,100913,100911,104119,8380,7610,9160,8190,51,60,8630,13.700,8790,8500,13,19,110.140,1781508,838934,924025,7335,8205,505,-0.430,13.700,9.090,15372,6612,11690,7590,14110,7590,0.019,-0.086,-0.065,562,415,해성에어로보틱스,-0.048
2478,20241008,456070,95148,95144,102354,23100,21000,23500,22150,26,45,23050,7.960,23200,22550,11,8,115.340,2300869,1051974,1213310,14596,21672,376,1.680,10.650,7.960,13763,51777,38250,17200,38250,17200,0.017,-0.069,-0.041,217,710,이엔셀,-0.048
2476,20241008,352770,94348,94342,101553,730,663,773,678,59,24,697,7.230,699,685,12,20,76.570,1272677,665719,509743,1265,1892,376,1.720,10.650,7.490,13414,46679,1228,626,1527,626,0.000,-0.029,-0.022,151,611,클리노믹스,-0.022
